station_id, obs_time, wx, rh, t, td, wdir, wspeed, pressure
SBBH,201706211600,Mostly Cloudy,53,22,12,150,4,914.39 
SBBH,201706211500,Mostly Cloudy,60,22,12,150,4,914.39 
SBBH,201706211300,Mostly Cloudy,64,21,12,None,0,915.29 
SBBH,201706211200,Fair,68,19,14,None,0,915.29 
SBBH,201706211000,Fair,82,17,12,40,2,913.5 
SBBH,201706202000,Mostly Cloudy,53,22,12,150,4,914.39 
SBBH,201706201800,Partly Cloudy,44,24,12,340,2,912.6 
SBBH,201706201700,Mostly Cloudy,47,24,12,340,2,912.6 
SBBH,201706201600,Partly Cloudy,50,24,12,340,2,912.6 
SBBH,201706201500,Partly Cloudy,53,24,12,340,2,912.6 
SBBH,201706201300,Fair,57,22,12,150,4,914.39 
SBBH,201706201200,Mostly Cloudy,60,20,12,None,0,915.29 
SBBH,201706201000,Mostly Cloudy,68,19,14,None,0,915.29 
SBBH,201706192000,Fair,34,24,12,340,2,912.6 
SBBH,201706191900,Partly Cloudy,29,25,11,80,7,912.6 
SBBH,201706191700,Partly Cloudy,34,25,11,80,7,912.6 
SBBH,201706191600,Partly Cloudy,32,25,11,80,7,912.6 
SBBH,201706191500,Fair,39,25,11,80,7,912.6 
SBBH,201706191400,Fair,44,24,12,340,2,912.6 
SBBH,201706191300,Fair,50,23,11,None,0,912.6 
SBBH,201706191100,Fair,68,19,14,None,0,915.29 
SBBH,201706191000,Fair,77,16,12,None,0,913.5 
SBBH,201706182000,Fair,41,23,11,None,0,912.6 
SBBH,201706181900,Fair,41,24,12,340,2,912.6 
SBBH,201706181800,Partly Cloudy,41,23,11,None,0,912.6 
SBBH,201706181700,Fair,41,24,12,340,2,912.6 
SBBH,201706181600,Partly Cloudy,44,24,12,340,2,912.6 
SBBH,201706181500,Partly Cloudy,50,23,11,None,0,912.6 
SBBH,201706181300,Fair,60,21,12,None,0,915.29 
SBBH,201706181200,Fair,64,20,12,None,0,915.29 
SBBH,201706181000,Fair,82,16,12,None,0,913.5 
SBBH,201706172000,Partly Cloudy,53,22,12,150,4,914.39 
SBBH,201706171800,Partly Cloudy,44,25,11,80,7,912.6 
SBBH,201706171700,Partly Cloudy,44,25,11,80,7,912.6 
SBBH,201706171500,Partly Cloudy,50,24,12,340,2,912.6 
SBBH,201706171400,Fair,53,23,11,None,0,912.6 
SBBH,201706171200,Fair,68,20,12,None,0,915.29 
SBBH,201706171100,Fair,73,19,14,None,0,915.29 
SBBH,201706171000,Fair,88,16,12,None,0,913.5 
SBBH,201706162000,Partly Cloudy,64,21,12,None,0,915.29 
SBBH,201706161900,Partly Cloudy,53,23,11,None,0,912.6 
SBBH,201706161800,Partly Cloudy,57,22,12,150,4,914.39 
SBBH,201706161700,Partly Cloudy,53,23,11,None,0,912.6 
SBBH,201706161500,Partly Cloudy,53,23,11,None,0,912.6 
SBBH,201706161400,Mostly Cloudy,60,21,12,None,0,915.29 
SBBH,201706161300,Fair,64,20,12,None,0,915.29 
SBBH,201706161100,Fair,68,19,14,None,0,915.29 
SBBH,201706161000,Fair,82,16,12,None,0,913.5 
SBBH,201706152000,Fair,78,21,12,None,0,915.29 
SBBH,201706151800,Partly Cloudy,57,24,12,340,2,912.6 
SBBH,201706151700,Partly Cloudy,50,25,11,80,7,912.6 
SBBH,201706151600,Partly Cloudy,57,23,11,None,0,912.6 
SBBH,201706151500,Partly Cloudy,61,23,11,None,0,912.6 
SBBH,201706151400,Partly Cloudy,60,22,12,150,4,914.39 
SBBH,201706151200,Fair,68,20,12,None,0,915.29 
SBBH,201706151100,Fair,68,19,14,None,0,915.29 
SBBH,201706151000,Fair,77,17,12,40,2,913.5 
SBBH,201706142000,Partly Cloudy,65,23,11,None,0,912.6 
SBBH,201706141900,Mostly Cloudy,57,24,12,340,2,912.6 
SBBH,201706141700,Mostly Cloudy,None,None,None,None,None,None 
